file,timestamp_iso,accelerometers_std_g,missing_value_reason,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,activity_class,activity_counts,activity_intensity,body_position_left,body_position_right,eda_scl_usiemens,met,prv_rmssd_ms,pulse_rate_bpm,respiratory_rate_brpm,sleep_detection_stage,step_counts,temperature_celsius,wearing_detection_percentage,hour,minute
cleaned_2024-05-07.csv,0.0,69.4,30.6,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.5,69.5,69.4,69.4,98.1,69.6,97.2,69.4,69.4,69.4,69.4,0.0,0.0
cleaned_2024-05-08.csv,0.0,0.6,99.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,66.6,1.7,59.8,0.6,0.6,0.6,0.1,0.0,0.0
cleaned_2024-05-09.csv,0.0,4.2,95.8,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.4,4.4,4.2,4.2,86.9,5.1,86.0,4.2,4.2,4.2,4.2,0.0,0.0
cleaned_2024-05-10.csv,0.0,1.3,98.7,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,84.4,1.4,81.5,1.3,1.3,1.3,0.1,0.0,0.0
cleaned_2024-05-11.csv,0.0,8.0,92.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.1,8.1,8.0,8.0,74.6,9.2,77.3,8.0,8.0,8.0,2.9,0.0,0.0
cleaned_2024-05-12.csv,0.0,5.8,94.2,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,84.0,6.0,83.7,5.8,5.8,5.8,4.9,0.0,0.0
cleaned_2024-05-13.csv,0.0,6.7,93.3,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,71.0,6.9,69.9,6.7,6.7,6.7,0.5,0.0,0.0
cleaned_2024-05-14.csv,0.0,7.4,92.6,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,79.2,7.7,79.0,7.4,7.4,7.4,4.7,0.0,0.0
cleaned_2024-05-15.csv,0.0,5.2,94.8,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.2,5.2,84.3,13.0,81.5,5.2,5.2,5.2,4.6,0.0,0.0
cleaned_2024-05-16.csv,0.0,7.6,92.4,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.7,7.7,7.6,7.6,75.8,8.1,83.3,8.3,7.6,7.6,6.9,0.0,0.0
