file,timestamp_iso,accelerometers_std_g,missing_value_reason,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,activity_class,activity_counts,activity_intensity,body_position_left,body_position_right,eda_scl_usiemens,met,pulse_rate_bpm,sleep_detection_stage,step_counts,temperature_celsius,wearing_detection_percentage,hour,minute,prv_rmssd_ms,respiratory_rate_brpm
cleaned_2024-04-14.csv,0.0,96.9,3.1,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,0.0,0.0,,
cleaned_2024-04-15.csv,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.7,78.5
cleaned_2024-04-16.csv,0.0,1.6,98.4,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0.0,0.0,79.0,74.3
cleaned_2024-04-17.csv,0.0,3.0,97.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.7,0.0,0.0,76.9,75.8
cleaned_2024-04-18.csv,0.0,2.6,97.4,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.4,0.0,0.0,80.7,78.7
cleaned_2024-04-19.csv,0.0,4.7,95.3,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,2.2,0.0,0.0,62.2,54.7
cleaned_2024-04-20.csv,0.0,4.3,95.7,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.2,0.0,0.0,84.7,82.1
cleaned_2024-04-21.csv,0.0,0.9,99.1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.0,72.8,67.9
cleaned_2024-04-22.csv,0.0,8.5,91.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,1.2,0.0,0.0,77.1,74.9
cleaned_2024-04-23.csv,0.0,13.2,86.8,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.3,13.3,13.2,13.2,13.2,70.7,13.2,13.2,10.3,0.0,0.0,77.1,73.8
cleaned_2024-04-24.csv,0.0,1.0,99.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,75.6,71.5
cleaned_2024-04-25.csv,0.0,13.1,86.9,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.2,13.2,13.1,13.1,13.1,,13.1,13.1,13.1,0.0,0.0,81.2,79.9
cleaned_2024-04-26.csv,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,76.1,73.8
cleaned_2024-04-27.csv,0.0,59.4,40.6,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.4,,59.4,59.4,59.1,0.0,0.0,77.2,73.8
